"

                                                                        합격가자
                                ","
                                                                    11:20                                                                ","
                                    
                                                                                                                                		여러분들의 의견이 궁금합니다.
                                                                            ","
                                                                    51
                                                                "
"

                                                                        도리도리컴
                                ","
                                                                    11:11                                                                ","
                                    
                                                                                                                                		램오버잘된거 맞나요?
                                                                            ","
                                                                    117
                                                                "
"

                                                                        user_484074
                                ","
                                                                    11:06                                                                ","
                                    
                                                                                                                                		XMP램 추천 부탁드립니다. 스트릭스 550A 보드입니다.
                                                                            ","
                                                                    52
                                                                "
"

                                                                        NAMNAM
                                ","
                                                                    10:50                                                                ","
                                    
                                                                                                                                		팔라딘 400 팬소음 문제 때문에 a/s전까지 팬만 뜯어서 사용 괜찮나요?
                                                                            ","
                                                                    62
                                                                "
"

                                                                        아리싸르
                                ","
                                                                    10:07                                                                ","
                                    
                                                                                                                                		OLOY CL14 3200 다이정보 없음..
                                                                            ","
                                                                    161
                                                                "
"

                                                                        MAYDA1Y
                                ","
                                                                    09:16                                                                ","
                                    
                                                                                                                                		램 팔건데 가격좀 봐주실 수 있나요?
                                                                            ","
                                                                    138
                                                                "
"

                                                                        츠라라
                                ","
                                                                    09:14                                                                ","
                                    
                                                                                                                                		라이젠 시스템 맞추려고하는데 질문있습니다
                                                                            ","
                                                                    109
                                                                "
"

                                                                        anzna
                                ","
                                                                    08:52                                                                ","
                                    
                                                                                                                                		질문드립니다. 롤 디코 유튜브 정도만 같이 키려면
                                                                            ","
                                                                    83
                                                                "
"

                                                                        user_600069
                                ","
                                                                    08:24                                                                ","
                                    
                                                                                                                                		기가바이트 지원사이트에서 바이오스 다운로드가 안되는데..
                                                                            ","
                                                                    55
                                                                "
"

                                                                        인공지능
                                ","
                                                                    16:45                                                                ","
                                    
                                                                                                                                		라이젠 보드문제 많나요?
                                                                            ","
                                                                    12
                                                                "
"

                                                                        IGNITEMORALE
                                ","
                                                                    15:51                                                                ","
                                    
                                                                                                                                		CPU - Z 하고 타이푼에서 SPD가 안뜨네요
                                                                            ","
                                                                    38
                                                                "
"

                                                                        freefree
                                ","
                                                                    15:11                                                                ","
                                    
                                                                                                                                		Alder Lake CPU 기사가 있네요
                                                                            ","
                                                                    103
                                                                "
"

                                                                        표범9
                                ","
                                                                    14:38                                                                ","
                                    
                                                                                                                                		렘관련 추가질문입니다!
                                                                            ","
                                                                    53
                                                                "
"

                                                                        갈증엔개똘아이
                                ","
                                                                    14:08                                                                ","
                                    
                                                                                                                                		저도 5600x로 바꾸면서 씨네벤치를 돌려봤는데요
                                                                            ","
                                                                    159
                                                                "
"

                                                                        페르세우스
                                ","
                                                                    13:59                                                                ","
                                    
                                                                                                                                		램사야되는데 cpuz 보는법좀 질문드려요
                                                                            ","
                                                                    56
                                                                "
"

                                                                        유혼풍
                                ","
                                                                    13:59                                                                ","
                                    
                                                                                                                                		긱바 B550 pro 한번씩 입력장치 모두 멈추는 현상 해결법 있을까요?
                                                                            ","
                                                                    95
                                                                "
"

                                                                        도리도리컴
                                ","
                                                                    13:26                                                                ","
                                    
                                                                                                                                		FLCK에 관하여.. 도와주세요
                                                                            ","
                                                                    97
                                                                "
"

                                                                        user_290856
                                ","
                                                                    13:21                                                                ","
                                    
                                                                                                                                		5600X & 박격포 조합시 램 추천 부탁드립니다.
                                                                            ","
                                                                    107
                                                                "
"

                                                                        이매망량
                                ","
                                                                    13:17                                                                ","
                                    
                                                                                                                                		세잔 샀습니다
                                                                            ","
                                                                    91
                                                                "
"

                                                                        user_591132
                                ","
                                                                    13:12                                                                ","
                                    
                                                                                                                                		asus tuf b550-plus
                                                                            ","
                                                                    91
                                                                "
"

                                                                        user_370443
                                ","
                                                                    13:03                                                                ","
                                    
                                                                                                                                		Z590 에펙 가격보고 업글하고싶어요
                                                                            ","
                                                                    109
                                                                "
"

                                                                        Kiyu
                                ","
                                                                    13:00                                                                ","
                                    
                                                                                                                                		z490 tuf faming plus  코잇 m.2 질문좀 드릴게요
                                                                            ","
                                                                    41
                                                                "
"

                                                                        BK
                                ","
                                                                    12:45                                                                ","
                                    
                                                                                                                                		메인보드 CPU 브라켓 볼트 구할방법이 있을까요?
                                                                            ","
                                                                    63
                                                                "
"

                                                                        user_600630
                                ","
                                                                    12:23                                                                ","
                                    
                                                                                                                                		사용가능한 램
                                                                            ","
                                                                    87
                                                                "
"

                                                                        긱베이프
                                ","
                                                                    12:10                                                                ","
                                    
                                                                                                                                		컴퓨터가 잘되다가 갑자기 망가졌는데 어떤 부품이 문제일까요?
                                                                            ","
                                                                    123
                                                                "
"

                                                                        user_556110
                                ","
                                                                    11:54                                                                ","
                                    
                                                                                                                                		Jrgb jrainbow가  12v 5v led인거요?
                                                                            ","
                                                                    51
                                                                "
"

                                                                        user_591132
                                ","
                                                                    11:47                                                                ","
                                    
                                                                                                                                		5600x 메인보드 바이오스 관련 질문!!
                                                                            ","
                                                                    98
                                                                "
"

                                                                        user_502617
                                ","
                                                                    11:41                                                                ","
                                    
                                                                                                                                		게이밍 성능 비교
                                                                            ","
                                                                    114
                                                                "
"

                                                                        허슉이
                                ","
                                                                    11:25                                                                ","
                                    
                                                                                                                                		3080ti 새우 관련
                                                                            ","
                                                                    82
                                                                "
"

                                                                        표범9
                                ","
                                                                    11:21                                                                ","
                                    
                                                                                                                                		xmp용 튜닝렘 질문드립니다
                                                                            ","
                                                                    73
                                                                "
"

                                                                        합격가자
                                ","
                                                                    11:20                                                                ","
                                    
                                                                                                                                		여러분들의 의견이 궁금합니다.
                                                                            ","
                                                                    51
                                                                "
"

                                                                        도리도리컴
                                ","
                                                                    11:11                                                                ","
                                    
                                                                                                                                		램오버잘된거 맞나요?
                                                                            ","
                                                                    117
                                                                "
"

                                                                        user_484074
                                ","
                                                                    11:06                                                                ","
                                    
                                                                                                                                		XMP램 추천 부탁드립니다. 스트릭스 550A 보드입니다.
                                                                            ","
                                                                    52
                                                                "
"

                                                                        NAMNAM
                                ","
                                                                    10:50                                                                ","
                                    
                                                                                                                                		팔라딘 400 팬소음 문제 때문에 a/s전까지 팬만 뜯어서 사용 괜찮나요?
                                                                            ","
                                                                    62
                                                                "
"

                                                                        아리싸르
                                ","
                                                                    10:07                                                                ","
                                    
                                                                                                                                		OLOY CL14 3200 다이정보 없음..
                                                                            ","
                                                                    161
                                                                "
"

                                                                        MAYDA1Y
                                ","
                                                                    09:16                                                                ","
                                    
                                                                                                                                		램 팔건데 가격좀 봐주실 수 있나요?
                                                                            ","
                                                                    138
                                                                "
"

                                                                        츠라라
                                ","
                                                                    09:14                                                                ","
                                    
                                                                                                                                		라이젠 시스템 맞추려고하는데 질문있습니다
                                                                            ","
                                                                    109
                                                                "
"

                                                                        anzna
                                ","
                                                                    08:52                                                                ","
                                    
                                                                                                                                		질문드립니다. 롤 디코 유튜브 정도만 같이 키려면
                                                                            ","
                                                                    83
                                                                "
"

                                                                        user_600069
                                ","
                                                                    08:24                                                                ","
                                    
                                                                                                                                		기가바이트 지원사이트에서 바이오스 다운로드가 안되는데..
                                                                            ","
                                                                    55
                                                                "
"

                                                                        인공지능
                                ","
                                                                    16:45                                                                ","
                                    
                                                                                                                                		라이젠 보드문제 많나요?
                                                                            ","
                                                                    12
                                                                "
"

                                                                        IGNITEMORALE
                                ","
                                                                    15:51                                                                ","
                                    
                                                                                                                                		CPU - Z 하고 타이푼에서 SPD가 안뜨네요
                                                                            ","
                                                                    38
                                                                "
"

                                                                        freefree
                                ","
                                                                    15:11                                                                ","
                                    
                                                                                                                                		Alder Lake CPU 기사가 있네요
                                                                            ","
                                                                    103
                                                                "
"

                                                                        표범9
                                ","
                                                                    14:38                                                                ","
                                    
                                                                                                                                		렘관련 추가질문입니다!
                                                                            ","
                                                                    53
                                                                "
"

                                                                        갈증엔개똘아이
                                ","
                                                                    14:08                                                                ","
                                    
                                                                                                                                		저도 5600x로 바꾸면서 씨네벤치를 돌려봤는데요
                                                                            ","
                                                                    159
                                                                "
"

                                                                        페르세우스
                                ","
                                                                    13:59                                                                ","
                                    
                                                                                                                                		램사야되는데 cpuz 보는법좀 질문드려요
                                                                            ","
                                                                    56
                                                                "
"

                                                                        유혼풍
                                ","
                                                                    13:59                                                                ","
                                    
                                                                                                                                		긱바 B550 pro 한번씩 입력장치 모두 멈추는 현상 해결법 있을까요?
                                                                            ","
                                                                    95
                                                                "
"

                                                                        도리도리컴
                                ","
                                                                    13:26                                                                ","
                                    
                                                                                                                                		FLCK에 관하여.. 도와주세요
                                                                            ","
                                                                    97
                                                                "
"

                                                                        user_290856
                                ","
                                                                    13:21                                                                ","
                                    
                                                                                                                                		5600X & 박격포 조합시 램 추천 부탁드립니다.
                                                                            ","
                                                                    107
                                                                "
"

                                                                        이매망량
                                ","
                                                                    13:17                                                                ","
                                    
                                                                                                                                		세잔 샀습니다
                                                                            ","
                                                                    91
                                                                "
"

                                                                        user_591132
                                ","
                                                                    13:12                                                                ","
                                    
                                                                                                                                		asus tuf b550-plus
                                                                            ","
                                                                    91
                                                                "
"

                                                                        user_370443
                                ","
                                                                    13:03                                                                ","
                                    
                                                                                                                                		Z590 에펙 가격보고 업글하고싶어요
                                                                            ","
                                                                    109
                                                                "
"

                                                                        Kiyu
                                ","
                                                                    13:00                                                                ","
                                    
                                                                                                                                		z490 tuf faming plus  코잇 m.2 질문좀 드릴게요
                                                                            ","
                                                                    41
                                                                "
"

                                                                        BK
                                ","
                                                                    12:45                                                                ","
                                    
                                                                                                                                		메인보드 CPU 브라켓 볼트 구할방법이 있을까요?
                                                                            ","
                                                                    63
                                                                "
"

                                                                        user_600630
                                ","
                                                                    12:23                                                                ","
                                    
                                                                                                                                		사용가능한 램
                                                                            ","
                                                                    87
                                                                "
"

                                                                        긱베이프
                                ","
                                                                    12:10                                                                ","
                                    
                                                                                                                                		컴퓨터가 잘되다가 갑자기 망가졌는데 어떤 부품이 문제일까요?
                                                                            ","
                                                                    123
                                                                "
"

                                                                        user_556110
                                ","
                                                                    11:54                                                                ","
                                    
                                                                                                                                		Jrgb jrainbow가  12v 5v led인거요?
                                                                            ","
                                                                    51
                                                                "
"

                                                                        user_591132
                                ","
                                                                    11:47                                                                ","
                                    
                                                                                                                                		5600x 메인보드 바이오스 관련 질문!!
                                                                            ","
                                                                    98
                                                                "
"

                                                                        user_502617
                                ","
                                                                    11:41                                                                ","
                                    
                                                                                                                                		게이밍 성능 비교
                                                                            ","
                                                                    114
                                                                "
"

                                                                        허슉이
                                ","
                                                                    11:25                                                                ","
                                    
                                                                                                                                		3080ti 새우 관련
                                                                            ","
                                                                    82
                                                                "
"

                                                                        표범9
                                ","
                                                                    11:21                                                                ","
                                    
                                                                                                                                		xmp용 튜닝렘 질문드립니다
                                                                            ","
                                                                    73
                                                                "
"

                                                                        합격가자
                                ","
                                                                    11:20                                                                ","
                                    
                                                                                                                                		여러분들의 의견이 궁금합니다.
                                                                            ","
                                                                    51
                                                                "
"

                                                                        도리도리컴
                                ","
                                                                    11:11                                                                ","
                                    
                                                                                                                                		램오버잘된거 맞나요?
                                                                            ","
                                                                    117
                                                                "
"

                                                                        user_484074
                                ","
                                                                    11:06                                                                ","
                                    
                                                                                                                                		XMP램 추천 부탁드립니다. 스트릭스 550A 보드입니다.
                                                                            ","
                                                                    52
                                                                "
"

                                                                        NAMNAM
                                ","
                                                                    10:50                                                                ","
                                    
                                                                                                                                		팔라딘 400 팬소음 문제 때문에 a/s전까지 팬만 뜯어서 사용 괜찮나요?
                                                                            ","
                                                                    62
                                                                "
"

                                                                        아리싸르
                                ","
                                                                    10:07                                                                ","
                                    
                                                                                                                                		OLOY CL14 3200 다이정보 없음..
                                                                            ","
                                                                    161
                                                                "
